x;y;z
-2.512735;-0.1795601;1.556704
-2.543691;-0.1776487;1.562102
-2.511983;-0.1832965;1.577651
-2.996619;-0.4712336;1.639728
-2.996618;-0.4712327;1.639728
-2.110873;-0.02143605;1.980841
-2.085668;-0.02170464;2.018632
-2.10894;-0.02243999;2.006279
-2.012878;-0.01646113;1.989792
-2.012878;-0.01646113;1.989792
-2.013549;-0.01711379;1.990352
-1.992308;-0.01738468;2.023153
-1.998985;-0.01854157;2.041382
-1.998985;-0.01854157;2.041382
-1.998985;-0.01854157;2.041382
-1.998985;-0.01854157;2.041382
-2.108581;-0.0267424;2.092692
-2.111669;-0.02717449;2.098757
-2.128178;-0.02901031;2.120284
-2.128178;-0.02901031;2.120284
-2.128178;-0.02901031;2.120284
-2.128178;-0.02901031;2.120284
-2.128178;-0.02901031;2.120284
-1.893306;-0.07651593;2.48533
-1.905651;-0.07775338;2.501259
-1.89764;-0.07726084;2.512017
-1.903756;-0.07789049;2.521035
-1.90509;-0.07811143;2.528687
-1.914491;-0.07898177;2.53593
-1.906798;-0.07824503;2.528333
-1.901414;-0.07774208;2.52388
-1.941514;-0.0815765;2.563071
-1.934231;-0.08084911;2.553847
-1.937523;-0.08114554;2.555817
-1.944988;-0.08183263;2.561302
-1.942968;-0.08143048;2.545126
-1.936598;-0.08073977;2.533353
-1.94071;-0.08092578;2.523297
-1.934022;-0.07987671;2.488933
-1.934022;-0.07987671;2.488933
-1.934022;-0.07987671;2.488933
-1.934022;-0.07987671;2.488933
-1.934022;-0.07987671;2.488933
-1.934022;-0.07987671;2.488933
-2.082937;-0.7297763;1.329071
-2.099384;-0.7176037;1.33116
-2.10046;-0.6987461;1.373587
-2.092353;-0.7012928;1.372529
-2.099525;-0.698671;1.374075
-2.099525;-0.6986709;1.374075
-2.11307;-0.6687779;1.447776
-2.11307;-0.6687778;1.447776
-2.11307;-0.6687774;1.447777
-2.11307;-0.6687775;1.447777
-2.11307;-0.6687773;1.447777
-2.227947;-0.1074296;1.521726
-2.25512;-0.1077443;1.523981
-2.256961;-0.1077454;1.521853
-2.515371;-0.1790089;1.533089
-2.542033;-0.1794041;1.526466
-2.50962;-0.1786391;1.528776
-2.497162;-0.1778262;1.529344
-2.485574;-0.1787727;1.526575
-2.481171;-0.1802703;1.527317
-2.471913;-0.1799637;1.529027
-2.47427;-0.1782056;1.522752
-2.478637;-0.1797067;1.527406
-2.469569;-0.1810131;1.534568
-2.460474;-0.1837212;1.531639
-2.465315;-0.1809263;1.524166
-2.482111;-0.1775205;1.52074
-2.494303;-0.1777337;1.518806
-2.487811;-0.177299;1.514124
-2.491809;-0.1774645;1.515106
-2.494843;-0.1776918;1.517745
-2.496374;-0.1784408;1.530869
-2.508023;-0.179016;1.535459
-2.508023;-0.179016;1.535459
-2.21833;-0.1072693;1.515407
